start,goal,runs,path_found,total_cost,path_total_distance,path_total_travel_time,runtime_ms_min,runtime_ms_mean,runtime_ms_max,algorithm,cost_type,dataset,edge_node_ratio,expanded_backward_max,expanded_backward_mean,expanded_backward_min,expanded_forward_max,expanded_forward_mean,expanded_forward_min,expanded_nodes_max,expanded_nodes_mean,expanded_nodes_min,optimality_gap_pct,preprocess_ms,runs_per_pair,scenario,seed,stress_max,stress_mean,stress_min
N_0_0,N_9_4,10,True,112.09999999999998,81.82937186062685,112.09999999999998,0.31219993252307177,0.337199994828552,0.39739999920129776,a_star,time,graph_100,2.96,,,,,,,93,93,93,0.0,0.4288000054657459,10,realistic,42,0.93,0.93,0.93
N_0_0,N_8_9,10,True,78.32,61.260568609908226,78.32,0.19729998894035816,0.20054999040439725,0.20819995552301407,a_star,time,graph_100,2.96,,,,,,,56,56,56,0.0,0.4288000054657459,10,realistic,42,0.56,0.56,0.56
N_0_0,N_8_4,10,True,91.25,66.32433798429471,91.25,0.2512000501155853,0.25471001863479614,0.2609000075608492,a_star,time,graph_100,2.96,,,,,,,75,75,75,0.0,0.4288000054657459,10,realistic,42,0.75,0.75,0.75
N_0_0,N_7_9,10,True,85.89999999999999,71.37050414403728,85.89999999999999,0.2300000051036477,0.2350000198930502,0.2606000052765012,a_star,time,graph_100,2.96,,,,,,,66,66,66,0.0,0.4288000054657459,10,realistic,42,0.66,0.66,0.66
N_0_0,N_7_4,10,True,106.31,69.58514663978468,106.31,0.2859000815078616,0.2911600051447749,0.2967999316751957,a_star,time,graph_100,2.96,,,,,,,85,85,85,0.0,0.4288000054657459,10,realistic,42,0.85,0.85,0.85
N_0_0,N_9_4,10,True,77.66207597356299,77.66207597356299,69.61,0.2169000217691064,0.22511000279337168,0.27109996881335974,a_star_alt,distance,graph_100,2.96,,,,,,,39,39,39,0.0,4.6539000468328595,10,realistic,42,0.39,0.39,0.39
N_0_0,N_8_9,10,True,61.260568609908226,61.260568609908226,48.35,0.15360000543296337,0.15764000127092004,0.17010001465678215,a_star_alt,distance,graph_100,2.96,,,,,,,27,27,27,0.0,4.6539000468328595,10,realistic,42,0.27,0.27,0.27
N_0_0,N_8_4,10,True,63.92608076063666,63.92608076063666,56.38999999999999,0.1479999627918005,0.15420999843627214,0.18470000941306353,a_star_alt,distance,graph_100,2.96,,,,,,,26,26,26,0.0,4.6539000468328595,10,realistic,42,0.26,0.26,0.26
N_0_0,N_7_9,10,True,71.37050414403728,71.37050414403728,53.96,0.1889999257400632,0.19563998794183135,0.2218999434262514,a_star_alt,distance,graph_100,2.96,,,,,,,34,34,34,0.0,4.6539000468328595,10,realistic,42,0.34,0.34,0.34
N_0_0,N_7_4,10,True,67.18688941612662,67.18688941612662,63.8,0.21430000197142363,0.21780000533908606,0.22659997921437025,a_star_alt,distance,graph_100,2.96,,,,,,,38,38,38,0.0,4.6539000468328595,10,realistic,42,0.38,0.38,0.38
N_0_0,N_9_4,10,True,112.09999999999998,81.82937186062685,112.09999999999998,0.37919997703284025,0.40176999755203724,0.493300030939281,a_star_alt,time,graph_100,2.96,,,,,,,70,70,70,0.0,4.6539000468328595,10,realistic,42,0.7,0.7,0.7
N_0_0,N_8_9,10,True,78.32,61.260568609908226,78.32,0.18120009917765856,0.18525001360103488,0.20070001482963562,a_star_alt,time,graph_100,2.96,,,,,,,35,35,35,0.0,4.6539000468328595,10,realistic,42,0.35,0.35,0.35
N_0_0,N_8_4,10,True,91.25,66.32433798429471,91.25,0.23529992904514074,0.2425899961963296,0.26190001517534256,a_star_alt,time,graph_100,2.96,,,,,,,45,45,45,0.0,4.6539000468328595,10,realistic,42,0.45,0.45,0.45
N_0_0,N_7_9,10,True,85.89999999999999,71.37050414403728,85.89999999999999,0.20490004681050777,0.20938999950885773,0.2180000301450491,a_star_alt,time,graph_100,2.96,,,,,,,39,39,39,0.0,4.6539000468328595,10,realistic,42,0.39,0.39,0.39
N_0_0,N_7_4,10,True,106.31,69.58514663978468,106.31,0.34200004301965237,0.43100001057609916,0.6451000226661563,a_star_alt,time,graph_100,2.96,,,,,,,64,64,64,0.0,4.6539000468328595,10,realistic,42,0.64,0.64,0.64
