start,goal,runs,path_found,total_cost,path_total_distance,path_total_travel_time,runtime_ms_min,runtime_ms_mean,runtime_ms_max,algorithm,cost_type,dataset,edge_node_ratio,expanded_backward_max,expanded_backward_mean,expanded_backward_min,expanded_forward_max,expanded_forward_mean,expanded_forward_min,expanded_nodes_max,expanded_nodes_mean,expanded_nodes_min,optimality_gap_pct,preprocess_ms,runs_per_pair,scenario,seed,stress_max,stress_mean,stress_min
N_0_0,N_9_4,10,True,112.09999999999998,81.82937186062685,112.09999999999998,0.354000017978251,0.4278399981558323,0.597700010985136,a_star,time,graph_100,2.96,,,,,,,93,93,93,0.0,0.7454999722540379,10,realistic,42,0.93,0.93,0.93
N_0_0,N_8_9,10,True,78.32,61.260568609908226,78.32,0.22019993048161268,0.2664600033313036,0.3349999897181988,a_star,time,graph_100,2.96,,,,,,,56,56,56,0.0,0.7454999722540379,10,realistic,42,0.56,0.56,0.56
N_0_0,N_8_4,10,True,91.25,66.32433798429471,91.25,0.2728999825194478,0.29293999541550875,0.36970002111047506,a_star,time,graph_100,2.96,,,,,,,75,75,75,0.0,0.7454999722540379,10,realistic,42,0.75,0.75,0.75
N_0_0,N_7_9,10,True,85.89999999999999,71.37050414403728,85.89999999999999,0.24800002574920654,0.257939996663481,0.2837000647559762,a_star,time,graph_100,2.96,,,,,,,66,66,66,0.0,0.7454999722540379,10,realistic,42,0.66,0.66,0.66
N_0_0,N_7_4,10,True,106.31,69.58514663978468,106.31,0.31150004360824823,0.3433799953199923,0.4561999812722206,a_star,time,graph_100,2.96,,,,,,,85,85,85,0.0,0.7454999722540379,10,realistic,42,0.85,0.85,0.85
N_0_0,N_9_4,10,True,77.66207597356299,77.66207597356299,69.61,0.22689998149871826,0.26334001449868083,0.37720007821917534,a_star_alt,distance,graph_100,2.96,,,,,,,39,39,39,0.0,4.767199978232384,10,realistic,42,0.39,0.39,0.39
N_0_0,N_8_9,10,True,61.260568609908226,61.260568609908226,48.35,0.16469997353851795,0.18185999942943454,0.22300006821751595,a_star_alt,distance,graph_100,2.96,,,,,,,27,27,27,0.0,4.767199978232384,10,realistic,42,0.27,0.27,0.27
N_0_0,N_8_4,10,True,63.92608076063666,63.92608076063666,56.38999999999999,0.15620002523064613,0.162570015527308,0.19319995772093534,a_star_alt,distance,graph_100,2.96,,,,,,,26,26,26,0.0,4.767199978232384,10,realistic,42,0.26,0.26,0.26
N_0_0,N_7_9,10,True,71.37050414403728,71.37050414403728,53.96,0.1970999874174595,0.20070000318810344,0.2117999829351902,a_star_alt,distance,graph_100,2.96,,,,,,,34,34,34,0.0,4.767199978232384,10,realistic,42,0.34,0.34,0.34
N_0_0,N_7_4,10,True,67.18688941612662,67.18688941612662,63.8,0.22549997083842754,0.2497500041499734,0.3754999488592148,a_star_alt,distance,graph_100,2.96,,,,,,,38,38,38,0.0,4.767199978232384,10,realistic,42,0.38,0.38,0.38
