start,goal,runs,path_found,total_cost,runtime_ms_min,runtime_ms_mean,runtime_ms_max,algorithm,cost_type,dataset,edge_node_ratio,expanded_backward_max,expanded_backward_mean,expanded_backward_min,expanded_forward_max,expanded_forward_mean,expanded_forward_min,expanded_nodes_max,expanded_nodes_mean,expanded_nodes_min,optimality_gap_pct,runs_per_pair,scenario,seed,stress_max,stress_mean,stress_min
N_0_0,N_7_4,10,True,67.18688941612662,0.3056999994441867,0.3393599996343255,0.5177999846637249,a_star_alt,distance,graph_100,2.96,,,,,,,38,38,38,0.0,10,realistic,42,0.38,0.38,0.38
N_0_0,N_9_4,10,True,77.66207597356299,0.46330003533512354,0.5203900043852627,0.6747000152245164,weighted_a_star,distance,graph_100,2.96,,,,,,,89,89,89,0.0,10,realistic,42,0.89,0.89,0.89
N_0_0,N_8_9,10,True,61.260568609908226,0.36500004353001714,0.40422999882139266,0.547699979506433,weighted_a_star,distance,graph_100,2.96,,,,,,,68,68,68,0.0,10,realistic,42,0.68,0.68,0.68
N_0_0,N_8_4,10,True,63.92608076063666,0.3776000230573118,0.38816999876871705,0.42230001417919993,weighted_a_star,distance,graph_100,2.96,,,,,,,72,72,72,0.0,10,realistic,42,0.72,0.72,0.72
N_0_0,N_7_9,10,True,71.37050414403728,0.4376999568194151,0.48297999310307205,0.6835000240243971,weighted_a_star,distance,graph_100,2.96,,,,,,,82,82,82,0.0,10,realistic,42,0.82,0.82,0.82
N_0_0,N_7_4,10,True,67.18688941612662,0.40040002204477787,0.4255399981047958,0.5492999916896224,weighted_a_star,distance,graph_100,2.96,,,,,,,77,77,77,0.0,10,realistic,42,0.77,0.77,0.77
N_0_0,N_9_4,10,True,77.66207597356299,1.2636000174097717,1.455990003887564,1.8623999785631895,bidirectional_a_star,distance,graph_100,2.96,98,98,98,88,88,88,186,186,186,0.0,10,realistic,42,1.86,1.86,1.86
N_0_0,N_8_9,10,True,61.26056860990822,0.9868000051937997,1.142330002039671,1.8526000203564763,bidirectional_a_star,distance,graph_100,2.96,85,85,85,71,71,71,156,156,156,-1.1598696386327332e-14,10,realistic,42,1.56,1.56,1.56
N_0_0,N_8_4,10,True,63.92608076063665,1.1397999478504062,1.3773699989542365,1.9969999557361007,bidirectional_a_star,distance,graph_100,2.96,96,96,96,74,74,74,170,170,170,-1.1115068017710018e-14,10,realistic,42,1.7,1.7,1.7
N_0_0,N_7_9,10,True,71.37050414403727,1.0901999776251614,1.365010003792122,2.140299999155104,bidirectional_a_star,distance,graph_100,2.96,85,85,85,83,83,83,168,168,168,-1.991138340079844e-14,10,realistic,42,1.68,1.68,1.68
N_0_0,N_7_4,10,True,67.18688941612662,1.1704000062309206,1.2773900001775473,1.5516999992541969,bidirectional_a_star,distance,graph_100,2.96,98,98,98,76,76,76,174,174,174,0.0,10,realistic,42,1.74,1.74,1.74
N_0_0,N_9_9,10,True,35.62264361394225,0.4706000327132642,0.5082400108221918,0.6500000017695129,dijkstra,distance,graph_1000,3.47,,,,,,,102,102,102,0.0,10,mixed,42,0.102,0.102,0.102
N_0_0,N_7_26,10,True,108.7721995272672,4.195599991362542,4.679219995159656,5.573700007516891,dijkstra,distance,graph_1000,3.47,,,,,,,782,782,782,0.0,10,mixed,42,0.782,0.782,0.782
N_0_0,N_6_17,10,True,51.37845019103772,0.9622999932616949,1.0851799976080656,1.5299000078812242,dijkstra,distance,graph_1000,3.47,,,,,,,196,196,196,0.0,10,mixed,42,0.196,0.196,0.196
N_0_0,N_4_9,10,True,35.187506403343896,0.44460000935941935,0.48700999468564987,0.6954999989829957,dijkstra,distance,graph_1000,3.47,,,,,,,97,97,97,0.0,10,mixed,42,0.097,0.097,0.097
N_0_0,N_3_35,10,True,118.91098527865647,4.632500000298023,5.286919994978234,6.506200006697327,dijkstra,distance,graph_1000,3.47,,,,,,,878,878,878,0.0,10,mixed,42,0.878,0.878,0.878
N_0_0,N_9_9,10,True,76.7,0.7585000130347908,0.8118000056128949,0.9876000112853944,dijkstra,time,graph_1000,3.47,,,,,,,159,159,159,0.0,10,mixed,42,0.159,0.159,0.159
N_0_0,N_7_26,10,True,167.78000000000003,4.136900010053068,4.595530009828508,5.83610002649948,dijkstra,time,graph_1000,3.47,,,,,,,805,805,805,0.0,10,mixed,42,0.805,0.805,0.805
N_0_0,N_6_17,10,True,97.05000000000001,1.3355999835766852,1.497190009104088,1.8943999893963337,dijkstra,time,graph_1000,3.47,,,,,,,265,265,265,0.0,10,mixed,42,0.265,0.265,0.265
N_0_0,N_4_9,10,True,53.05,0.41259999852627516,0.438260001828894,0.4875999875366688,dijkstra,time,graph_1000,3.47,,,,,,,92,92,92,0.0,10,mixed,42,0.092,0.092,0.092
N_0_0,N_3_35,10,True,169.83,4.291800025384873,5.666000006021932,7.941899995785207,dijkstra,time,graph_1000,3.47,,,,,,,821,821,821,0.0,10,mixed,42,0.821,0.821,0.821
N_0_0,N_9_9,10,True,35.622643613942245,0.4346999921835959,0.6624700094107538,1.2352000339888036,bidirectional_dijkstra,distance,graph_1000,3.47,24,24,24,39,39,39,63,63,63,-1.994637858606324e-14,10,mixed,42,0.063,0.063,0.063
N_0_0,N_7_26,10,True,108.77219952726719,3.247499989811331,3.4367599932011217,3.7299999967217445,bidirectional_dijkstra,distance,graph_1000,3.47,247,247,247,217,217,217,464,464,464,-1.306478565016018e-14,10,mixed,42,0.464,0.464,0.464
N_0_0,N_6_17,10,True,51.378450191037714,1.2080000014975667,1.35430998634547,2.202400006353855,bidirectional_dijkstra,distance,graph_1000,3.47,113,113,113,63,63,63,176,176,176,-1.3829586784306016e-14,10,mixed,42,0.176,0.176,0.176
N_0_0,N_4_9,10,True,35.18750640334389,0.6418999982997775,0.6869800155982375,0.7899000192992389,bidirectional_dijkstra,distance,graph_1000,3.47,59,59,59,39,39,39,98,98,98,-2.0193040325601953e-14,10,mixed,42,0.098,0.098,0.098
N_0_0,N_3_35,10,True,118.91098527865645,4.355799988843501,4.922980006085709,5.93089999165386,bidirectional_dijkstra,distance,graph_1000,3.47,364,364,364,261,261,261,625,625,625,-1.1950834215947527e-14,10,mixed,42,0.625,0.625,0.625
N_0_0,N_9_9,10,True,35.62264361394225,0.6779000395908952,1.2211499968543649,3.9548000204376876,a_star,distance,graph_1000,3.47,,,,,,,94,94,94,0.0,10,mixed,42,0.094,0.094,0.094
N_0_0,N_7_26,10,True,108.7721995272672,6.264599971473217,7.7860600023996085,10.15190000180155,a_star,distance,graph_1000,3.47,,,,,,,758,758,758,0.0,10,mixed,42,0.758,0.758,0.758
N_0_0,N_6_17,10,True,51.37845019103772,1.2391000054776669,1.399990014033392,1.9216000218875706,a_star,distance,graph_1000,3.47,,,,,,,178,178,178,0.0,10,mixed,42,0.178,0.178,0.178
N_0_0,N_4_9,10,True,35.187506403343896,0.6862999871373177,0.7851300004404038,0.88160001905635,a_star,distance,graph_1000,3.47,,,,,,,95,95,95,0.0,10,mixed,42,0.095,0.095,0.095
N_0_0,N_3_35,10,True,118.91098527865647,6.350600044243038,7.720959995640442,10.554599983152002,a_star,distance,graph_1000,3.47,,,,,,,859,859,859,0.0,10,mixed,42,0.859,0.859,0.859
N_0_0,N_9_9,10,True,35.62264361394225,0.5055000074207783,0.524619995849207,0.6125000072643161,a_star_alt,distance,graph_1000,3.47,,,,,,,49,49,49,0.0,10,mixed,42,0.049,0.049,0.049
N_0_0,N_7_26,10,True,108.7721995272672,3.1495000002905726,3.478529996937141,4.060700011905283,a_star_alt,distance,graph_1000,3.47,,,,,,,267,267,267,0.0,10,mixed,42,0.267,0.267,0.267
N_0_0,N_6_17,10,True,51.37845019103772,1.108399999793619,1.2463000020943582,1.8916000262834132,a_star_alt,distance,graph_1000,3.47,,,,,,,97,97,97,0.0,10,mixed,42,0.097,0.097,0.097
N_0_0,N_4_9,10,True,35.187506403343896,0.631699978839606,0.7826599990949035,1.4171000220812857,a_star_alt,distance,graph_1000,3.47,,,,,,,61,61,61,0.0,10,mixed,42,0.061,0.061,0.061
